  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
     1,    P-2463,   2024/08/27 08:44:41,           1-01,       1,        -9.873,       -12.606,        28.335,        -3.224,         18778,      -1,    1,                                 BERMUDA,                                     STD,                 H2O, 1724748556.00,         0.223,         0.174,         0.587,         0.157,        83.165,         0.001,         0.007,         1.275,       101.218,        11.226,         2.617,       132.013,         1.022,         1.145,       -0.0000,        0.0001,    1,        44.125,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
     2,    P-2463,   2024/08/27 08:53:56,           1-01,       2,        -9.842,       -12.511,        30.970,        -3.243,         19390,      -1,    1,                                 BERMUDA,                                     STD,                 H2O, 1724749111.40,         0.243,         0.189,         0.377,         0.173,        81.065,        -0.000,        -0.002,         1.260,       104.532,        11.419,         2.726,       137.132,         1.024,         1.264,        0.0000,        0.0000,    1,        44.125,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
     3,    P-2463,   2024/08/27 09:03:11,           1-01,       3,        -9.844,       -12.519,        31.441,        -3.241,         19329,      -1,    1,                                 BERMUDA,                                     STD,                 H2O, 1724749665.56,         0.222,         0.179,         0.313,         0.155,        83.519,        -0.000,        -0.001,         1.316,       104.086,        11.526,         2.716,       136.927,         1.022,         1.362,       -0.0000,       -0.0000,    1,        44.125,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
     4,    P-2463,   2024/08/27 09:12:26,           1-01,       4,        -9.793,       -12.473,        31.627,        -3.214,         19472,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724750220.90,         0.236,         0.182,         0.324,         0.167,        86.273,         0.000,        -0.000,         1.355,       104.939,        11.643,         2.727,       137.570,         1.028,         1.288,       -0.0000,       -0.0000,    1,        44.125,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
     5,    P-2463,   2024/08/27 09:21:41,           1-01,       5,        -9.799,       -12.473,        31.831,        -3.220,         19471,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724750776.62,         0.235,         0.195,         0.320,         0.161,        87.779,        -0.000,         0.001,         1.387,       104.887,        11.658,         2.731,       137.633,         1.027,         1.312,       -0.0000,       -0.0000,    1,        44.125,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
     6,    P-2463,   2024/08/27 09:30:56,           1-01,       6,        -9.796,       -12.487,        31.952,        -3.210,         19631,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724751326.64,         0.221,         0.180,         0.339,         0.160,        86.419,        -0.000,        -0.002,         1.425,       105.835,        11.520,         2.767,       139.221,         1.024,         1.398,        0.0000,       -0.0000,    1,        44.125,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
     7,    P-2463,   2024/08/27 09:40:11,           1-01,       7,        -9.829,       -12.505,        31.887,        -3.233,         19619,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724751885.44,         0.263,         0.198,         0.377,         0.183,        88.401,         0.000,        -0.001,         1.393,       105.735,        11.691,         2.762,       138.698,         1.023,         1.309,        0.0000,       -0.0000,    1,        44.125,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
     8,    P-2463,   2024/08/27 09:49:25,           1-01,       8,        -9.786,       -12.472,        31.943,        -3.208,         19563,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724752439.85,         0.219,         0.181,         0.352,         0.154,        88.036,         0.000,        -0.002,         1.401,       105.497,        11.664,         2.732,       138.037,         1.025,         1.210,        0.0000,       -0.0000,    1,        44.188,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
     9,    P-2463,   2024/08/27 09:58:40,           1-01,       9,        -9.800,       -12.434,        32.048,        -3.242,         19580,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724752994.57,         0.212,         0.170,         0.323,         0.149,        90.099,        -0.000,        -0.001,         1.434,       105.617,        11.480,         2.756,       138.366,         1.024,         1.288,        0.0000,        0.0000,    1,        44.188,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    10,    P-2463,   2024/08/27 10:07:55,           1-01,      10,        -9.816,       -12.434,        32.149,        -3.259,         19548,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724753545.19,         0.226,         0.184,         0.352,         0.160,        86.823,        -0.000,        -0.002,         1.440,       105.404,        11.499,         2.743,       138.131,         1.025,         1.305,        0.0000,        0.0000,    1,        44.188,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
